Domain,Num_words,Num_chars,Hyphen,Entropy_sdsu,Entropy_nosdsu,Entropy_nosu,Tranco_Rank,Longest_word_ratio,Typos,Freenom_TLD,Other_numbers,Subdomain levels,Label
www.covid19.gov.tt,6,16,0,3.189898095,2.807354922,2.846439345,0,0.222222222,0,0,0,1,1
covid19.gov.vu,5,12,0,3.022055209,1.584962501,2.921928095,1,0.285714286,0,0,0,1,1
covid-notice.ynu.edu.cn,7,21,1,3.346439345,1.584962501,3.373557262,1,0.260869565,0,0,0,1,1
scancovid19.icict.fiocruz.br,10,26,0,3.699470571,2.807354922,3.58401237,1,0.142857143,0,0,0,2,1
covid19healthbot-east.cdc.gov,8,27,1,3.856196298,0.918295834,3.772055209,1,0.206896552,0,0,0,1,1
coronavirus.berkeley.edu,3,22,0,3.697845823,2.405639062,3.642149882,1,0.458333333,0,0,0,1,1
www.prevenircoronavirus.com.br,7,28,0,3.602316559,3.300559092,3.42511855,0,0.366666667,0,0,0,1,1
covid19.tagbilaran.gov.ph,6,23,0,3.879664005,2.846439345,3.690116518,0,0.4,0,0,0,1,1
covid19.veracruz.ba.gov.br,7,24,0,3.663532755,2.75,3.506890596,0,0.307692308,0,0,0,1,1
covid19.aiimsraipur.edu.in,9,24,0,3.670968892,2.663532755,3.503258335,1,0.230769231,0,0,0,1,1
api.picovid.com.br,5,16,0,3.189898095,2.521640636,2.646439345,0,0.222222222,0,0,0,1,1
www.examescovid.saude.mg.gov.br,9,29,0,3.796217603,2.321928095,3.431623566,1,0.129032258,0,0,0,2,1
covid19.moh.ab.gov.ng,7,19,0,3.572469459,1,3.418295834,0,0.19047619,0,0,0,2,1
covid.cdc.gov,4,11,0,2.481714573,0.918295834,2.155639062,1,0.307692308,0,0,0,1,1
covidscreening.tatiuc.edu.my,8,26,0,3.75326969,2.251629167,3.546439345,0,0.321428571,0,0,0,1,1
covid.stat.gov.pl,5,15,0,3.378783493,1.5,2.947702779,1,0.235294118,0,0,0,1,1
covid19-monitor.pentagrama.net.br,8,31,1,3.914409345,2.846439345,3.86346519,0,0.272727273,0,0,0,1,1
coronavirus-admin.rs.gov.br,5,26,1,3.636842188,3.499227547,3.499227547,0,0.407407407,0,0,0,0,1
www.covid.centrodoguilherme.ma.gov.br,9,35,0,3.929229297,3.572469459,3.75326969,0,0.243243243,0,0,0,2,1
covidinspection.health.gov.mv,6,27,0,3.767183468,2.251629167,3.594465637,1,0.344827586,0,0,0,1,1
bsbmaiorquecovid.ong.br,7,22,0,3.748994804,3.625,3.625,0,0.217391304,0,0,0,0,1
covid19data.wustl.edu,8,19,0,3.681880803,2.321928095,3.625,1,0.19047619,0,0,0,1,1
8335.covid19.moh.gov.et,7,21,0,3.787143961,1.584962501,3.521640636,1,0.173913043,0,0,1,2,1
rdcovid.com.br,5,13,0,2.918295834,2.521640636,2.521640636,0,0.285714286,0,0,0,0,1
nationaltrustfund.covid-19.gov.gh,8,31,1,4.031401845,3,3.86346519,0,0.242424242,0,0,0,1,1
www.covid19.maceio.al.gov.br,9,26,0,3.762267391,2.584962501,3.327819531,1,0.178571429,0,0,0,2,1
covidhealthscreen.msu.edu,6,23,0,3.74095326,1.584962501,3.78418372,1,0.24,0,0,0,1,1
www.covid19.gov.vu,6,16,0,3.139572262,1.584962501,3.026986833,1,0.222222222,0,0,0,2,1
coronavirus.blog.br,3,18,0,3.410417253,3.095795255,3.095795255,0,0.578947368,0,0,0,0,1
espacoesteticovidabella.com.br,8,29,0,3.655045547,3.447262499,3.447262499,0,0.166666667,0,0,0,0,1
webdisk.altamiracontracovid-19.com.br,9,35,1,4.057476076,3.6412498,4.073329702,0,0.216216216,0,0,0,1,1
infografico-covid-api.procempa.com.br,11,35,1,3.679395107,2.75,3.607475391,1,0.108108108,0,0,0,1,1
coronavirus.ms.gov.br,4,20,0,3.419381946,3.095795255,3.095795255,0,0.523809524,0,0,0,0,1
autodiscover.foracovid.com.br,7,27,0,3.5804622,2.947702779,3.43993647,0,0.275862069,0,0,0,1,1
www.covid19.moh.gov.kh,7,20,0,3.419381946,1.584962501,3.180832987,0,0.181818182,0,0,0,2,1
covid-19.bandirma.edu.tr,7,22,1,3.880179923,2.75,3.625,1,0.166666667,0,0,0,1,1
www.testes-covid19.pcm.net.br,9,27,1,3.91326969,1.584962501,3.68418372,0,0.206896552,0,0,0,2,1
covidometrofloripa.com.br,7,24,0,3.551191174,3.503258335,3.503258335,0,0.2,0,0,0,0,1
covid.portal.patrocinio.mg.gov.br,10,31,0,3.624518655,2.921928095,3.308751351,0,0.181818182,0,0,0,2,1
whm.covid.gracaaranha.ma.gov.br,11,29,0,3.45949116,2.222191576,3.321104331,0,0.129032258,0,0,0,2,1
