Domain,Num_words,Num_chars,Hyphen,Entropy_sdsu,Entropy_nosdsu,Entropy_nosu,Tranco_Rank,Longest_word_ratio,Typos,Freenom_TLD,Other_numbers,Subdomain levels,Label
covid-19testing.vegas,5,20,1,3.721928095,3.640223929,3.640223929,0,0.333333333,0,0,0,0,0
covid-19vaccinestudies.com,6,25,1,3.73366069,3.663532755,3.663532755,0,0.269230769,0,0,0,0,0
covid19fundlawyers.com,6,21,0,4.106603137,4.05881389,4.05881389,0,0.318181818,0,0,0,0,0
covidjanitorservice.com,5,22,0,3.538310596,3.471354487,3.471354487,0,0.304347826,0,0,0,0,0
covid2019analysis.com,5,20,0,3.821928095,3.734521665,3.734521665,0,0.380952381,0,0,1,0,0
covid-2019doctor.com,5,19,1,3.471354487,3.452819531,3.452819531,0,0.3,0,0,1,0,0
covid19-impfung.eu,6,17,1,3.852168724,3.773557262,3.773557262,0,0.277777778,0,0,0,0,0
covid19updates.co,5,16,0,3.625,3.664497779,3.664497779,0,0.411764706,0,0,0,0,0
bloomcovidtests.com,5,18,0,3.281036113,3.323231429,3.323231429,0,0.263157895,0,0,0,0,0
covid19fund.co.uk,6,16,0,3.373557262,3.277613437,3.277613437,0,0.235294118,0,0,0,0,0
covid19schutz.com,5,16,0,3.577819531,3.546593564,3.546593564,0,0.352941176,0,0,0,0,0
habichdencoronavirus.com,5,23,0,3.675310869,3.621928095,3.621928095,0,0.458333333,0,0,0,0,0
masry-corona9.com,5,16,1,3.202819531,3.238901257,3.238901257,0,0.352941176,0,0,1,0,0
chinese-virus.info,3,17,1,3.4548224,3.238901257,3.238901257,0,0.388888889,0,0,0,0,0
coronaviruscleaningranchocucamongaca.com,6,39,0,3.461416888,3.464811724,3.464811724,0,0.275,0,0,0,0,0
akonakoronavirus.sk,5,18,0,3.044110418,3.030639062,3.030639062,0,0.315789474,1,0,0,0,0
covid19xproject.com,6,18,0,3.641604168,3.640223929,3.640223929,0,0.368421053,0,0,0,0,0
covid19beautychallenge.com,6,25,0,4.02346519,3.970573096,3.970573096,0,0.346153846,0,0,0,0,0
indiavscovid19.in,6,16,0,3.125,3.182005815,3.182005815,0,0.294117647,0,0,0,0,0
intheshadowofcorona.com,6,22,0,3.568084324,3.511085408,3.511085408,0,0.260869565,0,0,0,0,0
covid19vaccine.info,5,18,0,3.308270835,3.182005815,3.182005815,0,0.368421053,0,0,0,0,0
covid19deaths.org,5,16,0,3.75,3.546593564,3.546593564,0,0.352941176,0,0,0,0,0
covid19smallbusinessgrants.com,7,29,0,3.974889944,3.946222777,3.946222777,0,0.266666667,0,0,0,0,0
covid19worlds.com,5,16,0,3.452819531,3.39274741,3.39274741,0,0.352941176,0,0,0,0,0
covid19nutrition.com,5,19,0,3.431623566,3.327819531,3.327819531,0,0.45,0,0,0,0,0
covid-2021.club,4,14,1,3.521640636,3.121928095,3.121928095,0,0.266666667,0,0,1,0,0
vaquinhaonlinecoronavirus.com,6,28,0,3.610577243,3.51326969,3.51326969,0,0.379310345,0,0,0,0,0
4everlovecorona.xyz,5,18,0,3.419381946,3.006238929,3.006238929,0,0.315789474,0,0,1,0,0
maskfightcoronavirus.com,4,23,0,3.795088586,3.821928095,3.821928095,0,0.458333333,0,0,0,0,0
coronavirus.org.ge,3,17,0,3.280639062,3.095795255,3.095795255,0,0.611111111,0,0,0,0,0
covid-info.us,4,12,1,3.251629167,2.921928095,2.921928095,0,0.307692308,0,0,0,0,0
coronaviruscovid19masks.com,6,26,0,3.642371449,3.675310869,3.675310869,0,0.407407407,0,0,0,0,0
corona-soli-bonn.tk,4,18,1,3.350209029,3.077819531,3.077819531,0,0.315789474,0,1,0,0,0
customcovid19mask.com,6,20,0,3.50869497,3.616874606,3.616874606,0,0.285714286,0,0,0,0,0
coviddonaldjtrump.com,6,20,0,3.646439345,3.690116518,3.690116518,0,0.285714286,0,0,0,0,0
procme-covid19.com,6,17,1,3.410417253,3.521640636,3.521640636,0,0.222222222,0,0,0,0,0
loveinthetimeofcoronavirus19.com,8,31,0,3.885828069,3.896291529,3.896291529,0,0.34375,0,0,0,0,0
trackcorona.today,3,16,0,3.030639062,2.732158891,2.732158891,0,0.352941176,0,0,0,0,0
d614gcovid.com,5,13,0,3.238901257,3.121928095,3.121928095,0,0.285714286,0,0,1,0,0
fiqueemcasacovid19.com.br,9,24,0,3.882045108,3.725480557,3.725480557,0,0.16,0,0,0,0,0
testkoronawirus.com,5,18,0,3.572431251,3.373557262,3.373557262,0,0.315789474,1,0,0,0,0
covid19mortalitycalculator.com,6,29,0,3.607475391,3.632192122,3.632192122,0,0.333333333,0,0,0,0,0
covid19virus.health,5,18,0,3.836591668,3.251629167,3.251629167,0,0.315789474,0,0,0,0,0
covid19labdx.com,6,15,0,3.506890596,3.418295834,3.418295834,0,0.25,0,0,0,0,0
covid-19-info.de,5,15,1,3.373557262,3.238901257,3.238901257,0,0.25,0,0,0,0,0
covid19attorneykansascity.com,7,28,0,3.842370993,3.78346519,3.78346519,0,0.275862069,0,0,0,0,0
ufhealthcovidd.com,6,17,0,3.616874606,3.521640636,3.521640636,0,0.333333333,0,0,0,0,0
viruscovid19.top,5,15,0,3.506890596,3.251629167,3.251629167,0,0.3125,0,0,0,0,0
fight4coronavirus.org,4,20,0,3.646439345,3.734521665,3.734521665,0,0.523809524,0,0,1,0,0
beathecoronavirus.com,5,20,0,3.68418372,3.616874606,3.616874606,0,0.523809524,0,0,0,0,0
covid-19pregnancyregistry.com,6,28,1,4.039148672,3.97366069,3.97366069,0,0.310344828,0,0,0,0,0
usacovidtest.com,4,15,0,3.373557262,3.251629167,3.251629167,0,0.25,0,0,0,0,0
medoc-coronavirus.com,4,20,1,3.48418372,3.572469459,3.572469459,0,0.523809524,0,0,0,0,0
thecovid19virus.com,6,18,0,3.725480557,3.640223929,3.640223929,0,0.263157895,0,0,0,0,0
15mincovid19test.com,7,19,0,3.616348566,3.625,3.625,0,0.2,0,0,1,0,0
covidlawsuitlawyer.com,5,21,0,3.820888851,3.725480557,3.725480557,0,0.318181818,0,0,0,0,0
mydata2slowcovid19.info,8,22,0,3.970573096,3.836591668,3.836591668,0,0.173913043,0,0,1,0,0
covid19vaccines.in,5,17,0,3.292770194,3.323231429,3.323231429,0,0.444444444,0,0,0,0,0
certificationcovid19free.com,6,27,0,3.587858798,3.522055209,3.522055209,0,0.464285714,0,0,0,0,0
coronacounter.shop,3,17,0,3.263933429,2.87314068,2.87314068,0,0.388888889,0,0,0,0,0
hascovid19killedusallyet.com,9,27,0,3.940072687,3.834962501,3.834962501,0,0.214285714,0,0,0,0,0
farmaciacoronavirus.es,5,21,0,3.403989446,3.260828171,3.260828171,0,0.5,0,0,0,0,0
seattlecovid19lawyer.com,6,23,0,3.882045108,3.78418372,3.78418372,0,0.291666667,0,0,0,0,0
covid19appleidaccountkeliling-3.com,11,34,1,4.043057694,4.002268084,4.002268084,0,0.2,0,0,1,0,0
covid19-defense.com,5,18,1,3.572431251,3.456564762,3.456564762,0,0.368421053,0,0,0,0,0
yourscovidiently.online,6,22,0,3.538310596,3.625,3.625,0,0.260869565,0,0,0,0,0
chidseceure07help.com,6,20,0,3.58418372,3.381580488,3.381580488,0,0.19047619,0,0,1,0,0
covid2019.guide,4,14,0,3.521640636,3.169925001,3.169925001,0,0.333333333,0,0,1,0,0
covid-19update.ca,5,16,1,3.625,3.664497779,3.664497779,0,0.352941176,0,0,0,0,0
masry-corona81.com,5,17,1,3.337175341,3.378783493,3.378783493,0,0.333333333,0,0,1,0,0
covid19testforyou.com,7,20,0,3.721928095,3.690116518,3.690116518,0,0.19047619,0,0,0,0,0
covid19flu.org,5,13,0,3.546593564,3.321928095,3.321928095,0,0.285714286,0,0,0,0,0
snfcovid19update.com,6,19,0,3.93213804,3.875,3.875,0,0.3,0,0,0,0,0
californiacovid19law.com,6,23,0,3.609668477,3.546439345,3.546439345,0,0.416666667,0,0,0,0,0
corona-virus-pandemic.com,4,24,1,3.688721876,3.725650756,3.725650756,0,0.32,1,0,0,0,0
vaccinecoronavirus.net,3,21,0,3.368042423,3.239097918,3.239097918,0,0.5,0,0,0,0,0
coronavirus19safenhl.com,5,23,0,3.882045108,3.821928095,3.821928095,0,0.458333333,0,0,0,0,0
covid19injuryclaim.com,6,21,0,3.748994804,3.794653474,3.794653474,0,0.272727273,0,0,0,0,0
covid19-settlement.com,5,21,1,3.653756708,3.641604168,3.641604168,0,0.454545455,0,0,0,0,0
coronaclientupdate.com,4,21,0,3.558518613,3.503258335,3.503258335,0,0.272727273,0,0,0,0,0
legalcoronavirus.it,3,18,0,3.614369446,3.5,3.5,0,0.578947368,0,0,0,0,0
coronvirus.fr,4,12,0,3.022055209,2.921928095,2.921928095,0,0.384615385,1,0,0,0,0
customcoronavirusmasks.com,4,25,0,3.38346519,3.42511855,3.42511855,0,0.423076923,0,0,0,0,0
protezionicoronavirus.com,5,24,0,3.538320189,3.463280518,3.463280518,0,0.44,0,0,0,0,0
todosjuntoscontraocovid.com,8,26,0,3.348083585,3.294663586,3.294663586,0,0.222222222,0,0,0,0,0
coronarelieftigerforce.cf,5,24,0,3.240601563,3.243300369,3.243300369,0,0.24,0,1,0,0,0
covid19scienceworkgroup.org,7,26,0,3.796217603,3.849223912,3.849223912,0,0.259259259,0,0,0,0,0
covid19status.net,5,16,0,3.577819531,3.39274741,3.39274741,0,0.352941176,0,0,0,0,0
covidkit.xyz,4,11,0,3.277613437,2.75,2.75,0,0.333333333,0,0,0,0,0
covid-coronavirus.net,4,20,1,3.58418372,3.337175341,3.337175341,0,0.523809524,0,0,0,0,0
covid-19invest.com,5,17,1,3.616874606,3.521640636,3.521640636,0,0.333333333,0,0,0,0,0
gaysexcoronavirus.info,4,21,0,3.689703732,3.616874606,3.616874606,0,0.5,0,0,0,0,0
uscoronavirusupdate.com,4,22,0,3.663532755,3.576617645,3.576617645,0,0.47826087,0,0,0,0,0
nocovid19scarf.biz,5,17,0,3.734521665,3.521640636,3.521640636,0,0.277777778,0,0,0,0,0
covid19suppliesnow.com,6,21,0,3.784941827,3.725480557,3.725480557,0,0.363636364,0,0,0,0,0
craemrcovid19.com,6,16,0,3.327819531,3.39274741,3.39274741,0,0.235294118,0,0,0,0,0
designercoronavirusmask.com,4,26,0,3.690260391,3.675310869,3.675310869,0,0.407407407,0,0,0,0,0
covid19businessemergency.com,6,27,0,3.810081021,3.803508855,3.803508855,0,0.321428571,0,0,0,0,0
covid19homevalue.com,6,19,0,3.576617645,3.625,3.625,0,0.25,0,0,0,0,0
covid19mnworkcomp.com,7,20,0,3.446439345,3.572469459,3.572469459,0,0.19047619,0,0,0,0,0
support-wuhan.com,3,16,1,3.625,3.39274741,3.39274741,0,0.411764706,0,0,0,0,0
corona-virus101.com,4,18,1,3.572431251,3.506890596,3.506890596,0,0.315789474,1,0,1,0,0
cencoromarma.cf,6,14,0,2.896291529,2.751629167,2.751629167,0,0.266666667,1,1,0,0,0
covid19victimbenefit.com,6,23,0,3.534219021,3.521928095,3.521928095,0,0.291666667,0,0,0,0,0
covid-19businessadvisor.com,6,26,1,3.796217603,3.708132065,3.708132065,0,0.296296296,0,0,0,0,0
plataformacoronavirus.es,5,23,0,3.675310869,3.558518613,3.558518613,0,0.458333333,0,0,0,0,0
ncov2019.in,4,10,0,3.121928095,3,3,0,0.363636364,0,0,1,0,0
fight-covid19.ai,6,15,1,3.589898095,3.546593564,3.546593564,0,0.3125,0,0,0,0,0
covid-19hygiene.co.za,6,20,1,3.826874882,3.640223929,3.640223929,0,0.333333333,0,0,0,0,0
covid19mitigator.com,7,19,0,3.431623566,3.452819531,3.452819531,0,0.25,0,0,0,0,0
coronavirus-soigner.fr,5,21,1,3.499227542,3.431623566,3.431623566,0,0.5,0,0,0,0,0
covid-19storiesfromthefrontline.com,8,34,1,3.892486651,3.889049536,3.889049536,0,0.257142857,0,0,0,0,0
covid19longbeach.com,6,19,0,3.74741304,3.75,3.75,0,0.25,0,0,0,0,0
covid-19info.ml,5,14,1,3.521640636,3.251629167,3.251629167,0,0.266666667,0,1,0,0,0
